A11.2013.07386
A11.2013.07649
A11.2014.08175
A12.2013.04920
A11.2014.08602
A11.2013.07796
A11.2014.08381
A11.2013.07613
A11.2014.08363
A11.2014.08458
A11.2013.07662
A11.2014.08237
A11.2013.07651
A11.2013.07946
A11.2013.07858
A11.2014.08684
A11.2013.07847
A12.2014.05110
A12.2014.05113
A12.2014.05120
A11.2013.07798
A11.2014.08170
A11.2013.07385
A11.2014.08541
A11.2014.08543
A11.2013.07652
A11.2013.07732
A12.2014.05232
A11.2013.07743
A12.2014.05230
A11.2013.07358
A11.2014.08465
A11.2013.07785
A11.2013.07805
A11.2013.07669
A11.2013.07749
A11.2014.08227
A11.2014.08591
A11.2014.08230
A11.2013.07659
A11.2013.07874
A11.2014.08326
A11.2012.07050
A11.2015.09000
A11.2015.08979
A11.2015.09001
A11.2015.08985
A11.2014.08073
A11.2015.09101
A11.2015.09103
A11.2015.08914
A11.2015.09270
A11.2015.09314
A11.2014.08196
A11.2014.08565
A11.2014.08540
A11.2014.08272
A11.2014.08165
A11.2014.08041
A11.2014.08644
A11.2014.08163
A11.2014.08683
A11.2014.08205
A14.2015.02168
A11.2014.08431
A15.2016.00515
A11.2016.09772
A11.2016.09407
A12.2016.05596
A11.2015.09234
A11.2016.09564
A11.2015.09268
A11.2016.09854
A11.2016.09421
A11.2016.09434
A11.2015.09133
A11.2015.08852
A11.2016.09398
A11.2015.09266
A12.2016.05473
A11.2016.09390
A11.2016.09399
A11.2016.09416
A11.2015.09163
A11.2015.09267
A11.2016.09532
A11.2016.09690
A12.2016.05474
A11.2016.09493
A11.2015.08913
A11.2016.09507
A11.2016.09503
A11.2015.09026
A11.2016.09385
A12.2016.05545
A11.2016.09923
A11.2016.09392
A11.2016.09916
A11.2016.09438
A11.2015.09002
A11.2016.09408
A11.2016.09542
A11.2016.09423
A11.2015.08870
A11.2016.09415
A11.2017.10426
A12.2017.05803
A11.2016.09621
A11.2017.10721
A11.2017.10604
A11.2016.09524
A11.2016.09664
A11.2016.09782
A11.2016.09667
A11.2016.09986
A11.2016.09409
A11.2016.09402
A12.2017.05866
A11.2017.10716
A11.2017.10651
A11.2017.10417
A11.2017.10419
A11.2017.10413
A11.2017.10545
A11.2017.10233
A11.2016.09670
A11.2016.09403
A11.2017.10333
A11.2017.10730
A11.2017.10616
A11.2017.10284
A11.2016.09433
A11.2016.09452
A11.2017.10385
A11.2017.10441
A11.2017.10581
A12.2017.05812
A11.2017.10588
A11.2018.11397
A11.2018.11409
A11.2018.11414
A12.2018.06016
A11.2017.10189
A11.2018.11289
A11.2018.11402
A12.2018.06055
A11.2018.11396
A11.2018.11462
A11.2018.11123
A11.2018.11425
A11.2018.10909
A11.2017.10235
A11.2018.11387
A11.2018.11582
A11.2018.11592
A11.2018.11416
A11.2018.11398
A11.2018.11381
A11.2018.11590
A11.2018.11600
A11.2018.11565
